,Category,Channel Id,Channel Title,Comments Count,Dislikes Count,Duration,Likes Count,Published Day,Published Month,Published Time,Published Week,Tags,Video Description,Video Id,Video Title,Views
10,25,UC0sfnuCUaYV2twmfZDtXZng,Epoch Times Deutsch,614,68,148.0,3499,2019-02-03,2019-02,Sun 15,2019-02 05,"['politik', 'nachrichten', 'epochtimes', 'migrationspakt', 'zdf', 'migration', 'un', 'flüchtlinge', 'syrien', 'flüchtlingspolitik', 'mittelmeer']","Wie berichtet das Heute Journal zum Mittelmeer? Unvollständig. Ein Beispiel aus den Nachrichten, analysiert vom Wirtschaftsjournalisten Norbert Häring. Mehr dazu: https://bit.ly/2Gh4qzr

Mögen Sie unsere Videos? Unterstützen Sie Epoch Times. Hier Spenden: https://www.epochtimes.de/spenden-und-unterstuetzen

(c) 2018 Epoch Times",MDWBl1qOxRQ,"Das ZDF setzt den Migrationspakt um, indem es das Publikum täuscht",57020
11,22,UCKwnarZbO0q-ylRdGesSVXg,Alexander Batliner,0,0,1225.0,0,2019-01-31,2019-01,Thu 15,2019-01 04,"['uno', 'un', 'migrationspakt', 'landtag', 'liechtenstein', 'votum', 'fbp', 'migration']",Votum anlässlich der Landtagsdebatte zum UN-Migrationspakt,Yu8Z_TkrbBI,Votum Migrationspakt,5
12,22,UCpanmnSVFNsJEpFlBdP3iaA,Kim Jong Schulz,5,0,110.0,6,2019-01-30,2019-01,Wed 22,2019-01 04,"['afd', 'fdp', 'cdu', 'csu', 'deutschland', 'nrw', 'spd', 'martin schulz', 'merkel', 'wahlen', 'islam', 'demokratie', 'terroristen', 'lügenpresse', 'pegida', 'dresden', 'widerstand', 'volksverräter', 'tommy robinson', 'chemnitz', 'migration']","Na dann mal gute Nacht Deutschland  🚽🇩🇪🐑🐑

AfD, FDP, CDU, CSU, Deutschland, NRW, SPD, Martin Schulz, Merkel, Wahlen, Islam, Demokratie, Terroristen, Lügenpresse, Pegida, Dresden, Widerstand, Volksverräter, Tommy Robinson, Chemnitz, Migrationspakt, UNO, Bevölkerungsaustausch, Antifa, Orwell,",0Gab4V3TQuE,Migrationspakt unverbindlich! (Aber wer lässt schon 🏅Goldstücke🏅 liegen?),115
13,25,UCiYuIPUUq9isfX2Hb6q1Ibw,AfD Mittelsachsen,0,4,981.0,3,2019-01-28,2019-01,Mon 20,2019-01 04,[],"Mike Moncsek, Beisitzer im Landes- und Kreisvorstand und Kandidat für das EU-Paralament, spricht auf der Kundgebung am 5. Dezember 2018 in Freiberg. 
Weitere Infos:
https://afd-mittelsachsen.de/index.php/homepage/pressemitteilungen/1008-oesterreich-zeigt-wie-es-geht-nein-zum-migrationspakt-der-uno.html",llnQ4QtQRYs,"""Migrationspakt stoppen"" - Mike Moncsek, 5.12.2018",40
14,25,UCiYuIPUUq9isfX2Hb6q1Ibw,AfD Mittelsachsen,0,0,462.0,7,2019-01-28,2019-01,Mon 19,2019-01 04,[],"Dr. Rolf Weigand, Landtagsabgeordneter der AfD in Dresden, spricht auf der Kundgebung am 5. Dezember 2018 in Freiberg. Dr. Weigand spricht auch über aktuelle Ereignisse in Freiberg. 
Weitere Infos:
https://afd-mittelsachsen.de/index.php/homepage/pressemitteilungen/1008-oesterreich-zeigt-wie-es-geht-nein-zum-migrationspakt-der-uno.html",STTTGaX4SnE,"""Migrationspakt stoppen"" - Dr. Rolf Weigand, 5.12.2018",65
15,25,UC9ge8cy-b7hSG4Oqx3HJtZg,TV07 Meinungen,0,4,127.0,697,2019-01-26,2019-01,Sat 06,2019-01 03,"['libyen', 'auffanglager', 'schlepper', 'tote', 'asyl', 'flüchtlinge', 'spanien', 'ngos', 'geflüchtete', 'versklavt', 'sklavenmärkte', 'akteure', 'migrationsströme', 'afrika', 'afrikaner', 'schwarze', 'mittelmeer', 'boote', 'schlauchboote', 'lügenpresse', 'merkel', 'asylbewerber', 'zwangsverheiratung', 'gewalt', 'moschee', 'koran', 'moslems', 'salafisten', 'islam frauen unterdrückung', 'einwanderer', 'gutmenschen', 'belästigen', 'klauen', 'diebstahl', 'integration', 'vergewaltigung', 'junge männer', 'araber']","""Auffanglager in Libyen, nur dort Asyl beantragen können, und viele Probleme wären gelöst: keine Schlepper mehr, keine Toten - und ganz Europa müsste mitmachen""

https://www.welt.de/politik/deutschland/article187196728/Irregulaere-Einreise-Spanien-winkt-Migranten-durch-Klarer-Verstoss-gegen-EU-Recht.html",PFbHEFQmbeM,"SPANIEN winkt Migranten durch - ""Migrationspakt wertlos""",15284
16,22,UCTa40ggbeQXZQCUVdTwjA4A,Solist,1,1,95.0,0,2019-01-23,2019-01,Wed 23,2019-01 03,[],,N_rq7-s5N6o,Migrationspakt und seine Folgen?,18
17,22,UCOQFfcGRc886dXP2Oyt5OEg,Tim Kellner,1354,68,275.0,10047,2019-01-18,2019-01,Fri 14,2019-01 02,"['petition', 'raus aus dem migrationspakt', 'tim k', 'tim kelllner', 'angela merkel', 'unmigrationspakt', 'unterzeichnen', 'deutschland', 'flüchtlinge']","Ist Euch schon aufgefallen, dass die Schlepperkönigin Europas Angela Merkel kaum noch in den gleichgeschalteten Medien aktuell auftaucht?
Dieses ist meiner Ansicht nach leicht zu erklären. Man will sie aus der Schußlinie nehmen.
Die Mehrheit der Bevölkerung lehnt Merkel nämlich mittlerweile ab und nicht wenige verachten sie zutiefst. Derweilen schiebt man andere Politdarsteller in den Vordergrund.
Aber Bundeskanzlerin Merkel hat ja auch zur vollsten Zufriedenheit gegen Deutschland und die eigene Bevölkerung abgeliefert.
Der Migrationspakt ist ohne die Bevölkerung überhaupt gefragt zu haben, einfach so durchgewunken worden. „Nun ist das eben so.“ und darüber soll möglichst auch nicht mehr diskutiert oder gesprochen werden.
Von wegen! Jetzt erst recht!

Ich habe immer wieder gesagt, dass ich mich mit allen mir verfügbaren rechtsstaatlichen Mitteln gegen diese Frau und ihre zerstörerische Politik stellen werde.
Die Verfassungsbeschwerde gegen den Migrationspakt ist bereits in Karlsruhe eingereicht.
Des weiteren habe ich jetzt eine Petition gestartet, welche die einfache Forderung enthält:
Raus aus dem UN-Migrationspakt!
 
Warum?
Der UN-Migrationspakt ist der letzte Sargnagel für Deutschland!
Er wird Deutschland zu einem Sehnsuchtsort für Millionen von Menschen aus der ganzen Welt machen. Gleichzeitig ist er der Versuch, die unzähligen Rechtsbrüche einer Angela Merkel nachträglich zu legitimieren.
Deutschland muss aus dem UN-Migrationspakt wieder austreten!
Ich bitte Euch und fordere Euch dazu auf, diese Petition zu unterstützen und zu unterschreiben.

Den Link dazu findet Ihr hier:

https://fürdieeigenen.de/#kampagnen

Wir benötigen innerhalb von vier Wochen 50.000 Unterschriften, um diese dann dem Parlament vorzulegen und eine Anhörung im Bundestag zu erhalten.
Wenn jeder von Euch diese Petition unterzeichnet und seine Freunde oder Freundin, Familienmitglieder, Arbeitskollegen und Bekannte ebenfalls dafür gewinnt, so sollte dieses ein Leichtes sein.

Es ist davon auszugehen, dass die Verfassungsklage abgeschmettert werden wird, was mich wiederum veranlassen wird, die nächsthöhere Instanz in Anspruch zu nehmen.
Alles dies ist mit nicht unerheblichen Kosten verbunden und alleine bis jetzt hat dieser Rechtsstreit gegen die Bundesrepublik Deutschland vertreten durch Bundeskanzlerin Angela Merkel schon mehrere Tausend Euro gekostet.
Ich habe unglaublich viele Zuschriften erhalten, weil man mich bei der Verfassungsklage unterstützen möchte. Ich wurde immer wieder gefragt, ob man sich an dieser Klage beteiligen kann?
Dieses ist leider nicht möglich, da es sich um eine persönliche Individualklage handelt.

Wer mich aber bei diesem Rechtsstreit und bei der werbewirksamen Durchführung der Kampagne unterstützen möchte, der kann dieses folgendermaßen tun:

Paypal: caesar7@gmx.de 
Sonstige Kontodaten auf: www.fuerdieeigenen.de

Ich reiche diese Verfassungsbeschwerde und die Petition stellvertretend für uns alle ein!
Ich danke Euch im Voraus für Eure Unterstützung.
Wer kämpft, kann verlieren. Wer nicht kämpft, hat schon verloren!
Für die Zukunft unserer Kinder!
Gegen eine Angela Merkel!

Für die Eigenen!

Tim K.

#fürdieeigenen  #timk  #timkellner",ovZ3d2GY3_8,"Merkel jagen! Petition ""Raus aus dem Migrationspakt"" gestartet!",82601
18,25,UCbh5D3EdIHP4YQA5X-eK1ug,Deutscher Bundestag,0,9,6714.0,14,2019-01-15,2019-01,Tue 11,2019-01 02,"['bundestag', 'petitionen', 'petitionsausschuss', 'migrationspakt', 'tsvg', 'terminservice und versorgungsgesetz', 'parlament', 'abgeordnete', 'video']","Durch den UN-Migrationspakt werden nach Aussage des Staatsministers im Auswärtigen Amt, Niels Annen (SPD), „weder nationale noch sonstige Rechte eingeschränkt“. Es handle sich vielmehr um eine Vereinbarung, die rechtlich nicht bindend sei, sagte Annen während einer öffentlichen Sitzung des Petitionsausschusses unter Vorsitz von Marian Wendt (CDU/CSU) am Montagmittag, 14. Januar 2019.
Weitere Informationen zu dem Thema finden Sie hier:
https://www.bundestag.de/dokumente/textarchiv/2019/kw03-pa-petitionen/585878",ZcLK6xeyjKA,Petitionen zum UN-Migra­tions­pakt und zum Ter­min­ser­vice­ge­setz erörtert,917
19,25,UC0sfnuCUaYV2twmfZDtXZng,Epoch Times Deutsch,354,130,3349.0,985,2019-01-14,2019-01,Mon 12,2019-01 02,"['politik', 'nachrichten', 'epochtimes', 'migrationspakt']","Mehr dazu: https://www.epochtimes.de/politik/deutschland/am-montag-im-bundestag-oeffentliche-anhoerung-der-petition-gegen-den-un-migrationspakt-a2759300.html

Mögen Sie unsere Videos? Unterstützen Sie Epoch Times. Hier Spenden: https://www.epochtimes.de/spenden-und-unterstuetzen

(c) 2018 Epoch Times",C4b0GOAj82Q,Montag im Bundestag: Öffentliche Anhörung der Petition gegen den UN-Migrationspakt,38183
20,27,UCIK2GdWuapLxW5xcelmBmgQ,Jesse James,4,1,2978.0,34,2019-01-05,2019-01,Sat 23,2019-01 00,"['deep state', 'qanon deutsch', 'buergerkrieg deutschland', '3 weltkrieg', 'nwo', 'finanzcrash', 'alois irlmaier', 'tiefen staat', 'haarp', 'chemtrails', 'geoingeniering', 'antarktis', 'friedensvertrag', 'brdgmbh', 'ufos', 'viktor schauberger', 'jesus christus', 'alternativ medien', 'naturheilkunde', 'staatenlos', 'endzeit', 'crash', 'betrug', 'luegenpresse', 'lustige videos', 'witzige videos', 'prank', 'upps', 'autounfaelle', 'sport', 'bayern muenchen', 'fussball bundesliga live', 'ufc', 'mma fights', 'bjj fights', 'traumreisen', 'world of warcraft']","QuelKanal:
Holger Strohm
Am 05.01.2019 veröffentlicht
Einfach reinschauen und Abonnieren!
https://www.youtube.com/user/HolgerStrohm
Nicht nur DAS eine Thema wird diesmal von Holger Strohm angesprochen, jetzt Teilt er - RICHTIG AUS !

HINWEIS

Liebe Leser und Zuschauer: Wegen vermehrten Nachfragen wo und wie meine Bücher zu finden und zu kaufen sind; gebt einfach ""Holger Strohm Bücher"" bei Google oder in eine andere Suchmaschine ein, und schon Eröffnet sich Euch ein breites Angebot einer Auswahl meiner Bücher.

Euer Holger Strohm",LvMG8p-B2tc,KLARTEXT zum „Migrationspakt“  Top Interview mit Holger Strohm und Jo Conrad !,305
21,25,UCdE7tn69N1kscxf_X6i-e5Q,Holger Strohm,234,21,2978.0,1387,2019-01-05,2019-01,Sat 18,2019-01 00,[],"Nicht nur DAS eine Thema wird diesmal von Holger Strohm angesprochen, jetzt Teilt er - RICHTIG AUS !

HINWEIS

Liebe Leser und Zuschauer: Wegen vermehrten Nachfragen wo und wie meine Bücher zu finden und zu kaufen sind; gebt einfach ""Holger Strohm Bücher"" bei Google oder in eine andere Suchmaschine ein, und schon Eröffnet sich Euch ein breites Angebot einer Auswahl meiner Bücher.

Euer Holger Strohm",Nod7_r6HL9M,KLARTEXT zum „Migrationspakt“: Top-Interview mit Holger Strohm und Jo Conrad !,22022
22,22,UCyjdsugkaeH9py1NHizrdNA,Qwertz Qwertz,0,0,2363.0,6,2019-01-03,2019-01,Thu 04,2019-01 00,[],,546hMzSRNn8,Leyla Bilge zum Migrationspakt..... mirror,49
23,28,UCLwA_GaJxh_3zb7tXJNhvSw,baliftw,0,0,115.0,0,2019-01-01,2019-01,Tue 21,2019-01 00,"['migrationspakt', 'stoppt migrationspakt', 'globaler migrationspakt', 'antiilluminaten tv', 'unmigrationspakt', 'unzensiert', 'deutschland', 'whistleblower', 'radikalisierung', 'visegrad länder', 'berichterstattung', 'bundesrepublik in deutschland', 'allgemeine rundfunkanstalten deutschlands', 'migration', 'migranten', 'nachrichten', 'ersatz migration', 'beratungen über', 'extraterrestrial', 'terrorfinanzierung', 'insider', 'sprecher', 'rassismus', 'zionisten', 'nabilnaeem', 'faschisten', 'diabolisch', 'antizensur', 'kabbalistik', 'flüchtlinge']",Quelle: www.klagemauer.tv,oP-8kAgg9nk,Migrationspakt  UN DOKUMENTE absichtlich irreführend formuliert   06 12 2018   www kla tv 13468,15
24,28,UCLwA_GaJxh_3zb7tXJNhvSw,baliftw,0,0,187.0,0,2019-01-01,2019-01,Tue 21,2019-01 00,"['deutschland', 'nachrichten', 'friedensvertrag', 'stillstand der rechtspflege', 'wirtschaftsgebiet', 'german online course', 'wahrheit oder pflicht', 'rechtsbankrott', 'online deutschkurs', 'german course online', 'online deutsch lernen', 'german learning online', 'easy way to learn german', 'antizensur', 'unterdrückung', 'souveränität', 'deutsches reich', 'deutsch lernen für ausländer', 'berichterstattung', 'klatv', 'german audio lessons', 'antiterrorstrategie', 'intensiv deutschkurs']",Quelle: www.klagemauer.tv,xTk5SU6URkg,Migrationspakt fördert Medieneinheitsbrei!   09 12 2018   www kla tv 13486,10
25,1,UCRmqb_C0ijS1JtZoWTIsJOA,Charles Anglophobe,69,19,240.0,244,2018-12-30,2018-12,Sun 14,2018-12 52,"['deutschland', 'merkel', 'cdu', 'umvolkung', 'globalisierung', 'migrationspakt', 'migration']",,F6J8GW3AIqg,"Merkel: ""Migrationspakt ist bindend, Deutsche und ihre Nation sind ein Hirngespinst"" #Hochverrat",6119
26,25,UCNIWzZU8qeT2gPwrgRdoKHw,uncreative collection,2,0,925.0,63,2018-12-28,2018-12,Fri 23,2018-12 51,"['kenfm', 'ken jebsen', 'nachrichten', 'medien', 'journalismus', 'alternative medien', 'unabhängige medien', 'freie medien', 'amazon', 'annegret krampkarrenbauer', 'chérif chekatt', 'cia', 'claas relotius', 'daniel harrich', 'frankreich', 'gelbwesten', 'george h w bush', 'heiko maas', 'israel', 'jemen', 'kertsch', 'khashoggi', 'krampkarrenbauer', 'macron', 'marco bülow', 'marrakesch', 'merz', 'michael butter', 'migrationspakt', 'opec', 'pentagon', 'poroschenko', 'putin', 'reinhard merkel', 'saudiarabien', 'snowdon', 'syrien', 'ukraine', 'unmigrationspakt', 'vw', 'zuwanderung', 'zypern']","Ihr könnt mich mit dem Amazon-Affiliate Link unterstützen:
https://amzn.to/2DyAX3n

Original Video:
https://youtu.be/sPQhNmfir1M

KenFM Kanal:
https://www.youtube.com/user/wwwKenFMde

▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼

Wie dreckig ist das UN-Migrationspakt?

▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼

Danke fürs vorbeischauen.
Falls euch dieses Video gefallen hat - liked dieses Video und vergesst nicht zu abonnieren!",_e4_-YUy0Cw,Ken Jebsen über Migration und UN-Migrationspakt,1083
